common_name,season_name,rows,positive_locality_seasons,trials,detections,observed_detection_rate,train_prevalence_predicted_detection_rate,train_prevalence_calibration_error,availability_predicted_detection_rate,availability_calibration_error,effort_predicted_detection_rate,effort_calibration_error,combined_predicted_detection_rate,combined_calibration_error
Black-and-white Warbler,early_breeding,7,3,97,6,0.061855670103092786,0.05013333261013031,0.011722337492962476,0.05651218632293731,0.005343483780155478,0.05243218697837947,0.009423483124713312,0.05083643622005109,0.011019233883041699
Black-and-white Warbler,fall_migration,7,1,110,9,0.08181818181818182,0.05013333261013031,0.03168484920805151,0.05294475829736753,0.02887342352081429,0.052323558113791725,0.029494623704390092,0.05206099586053328,0.029757185957648535
Black-and-white Warbler,late_breeding,5,1,50,5,0.1,0.05013333261013031,0.049866667389869695,0.05226370878517628,0.04773629121482373,0.055605272948741916,0.04439472705125809,0.05149355448782444,0.04850644551217557
Black-and-white Warbler,spring_migration,7,3,137,3,0.021897810218978103,0.05013333261013031,0.028235522391152207,0.05661390969244233,0.034716099473464226,0.05281264756391518,0.03091483734493708,0.05440119254219271,0.032503382323214605
Black-and-white Warbler,winter,10,0,202,0,0.0,0.05013333261013031,0.05013333261013031,0.04754985566481505,0.04754985566481505,0.04740770380612057,0.04740770380612057,0.04101891826727603,0.04101891826727603
Double-crested Cormorant,early_breeding,7,1,97,3,0.030927835051546393,0.07253333181142807,0.04160549675988168,0.061243106563066696,0.030315271511520303,0.07257922838643655,0.04165139333489015,0.06331318751284756,0.03238535246130117
Double-crested Cormorant,fall_migration,7,1,110,1,0.00909090909090909,0.07253333181142807,0.06344242272051898,0.0643787480890751,0.055287838998166,0.07618307362903248,0.06709216453812339,0.07175544893199748,0.06266453984108838
Double-crested Cormorant,late_breeding,5,1,50,1,0.02,0.07253333181142807,0.052533331811428066,0.05865071654319763,0.03865071654319763,0.073878064006567,0.053878064006567,0.061474567428231236,0.04147456742823123
Double-crested Cormorant,spring_migration,7,1,137,4,0.029197080291970802,0.07253333181142807,0.04333625151945727,0.07476324457539259,0.045566164283421785,0.07266554736743008,0.04346846707545928,0.0754941963475116,0.0462971160555408
Double-crested Cormorant,winter,10,3,202,7,0.034653465346534656,0.07253333181142807,0.037879866464893414,0.06963067575551496,0.0349772104089803,0.07240593223140972,0.03775246688487506,0.06580538542406393,0.031151920077529274
Eastern Meadowlark,early_breeding,7,1,97,7,0.07216494845360824,0.06880000233650208,0.0033649461171061656,0.06628739288480011,0.005877555568808132,0.0735873236253704,0.0014223751717621635,0.06785687112931124,0.004308077324296999
Eastern Meadowlark,fall_migration,7,3,110,8,0.07272727272727272,0.06880000233650208,0.0039272703907706485,0.06794079345735636,0.004786479269916363,0.07373146082867275,0.0010041881014000303,0.0656386175616221,0.0070886551656506175
Eastern Meadowlark,late_breeding,5,0,50,0,0.0,0.06880000233650208,0.06880000233650208,0.07191187605261802,0.07191187605261802,0.07740619964897633,0.07740619964897633,0.07080212228000164,0.07080212228000164
Eastern Meadowlark,spring_migration,7,2,137,15,0.10948905109489052,0.06880000233650208,0.04068904875838844,0.07610727819430567,0.03338177290058485,0.07357815468180788,0.035910896413082635,0.07719908758019009,0.032289963514700426
Eastern Meadowlark,winter,10,2,202,14,0.06930693069306931,0.06880000233650208,0.0005069283565672378,0.06418060622002819,0.005126324473041122,0.06587461699353586,0.0034323136995334513,0.058011722151595765,0.011295208541473548
Eastern Towhee,early_breeding,7,6,97,43,0.44329896907216493,0.36693334579467773,0.0763656232774872,0.37388761725622355,0.06941135181594138,0.3725221697817144,0.07077679929045055,0.3765578426651119,0.06674112640705304
Eastern Towhee,fall_migration,7,5,110,27,0.24545454545454545,0.36693334579467773,0.12147880034013228,0.3373463110490279,0.09189176559448245,0.3679479002952576,0.12249335484071214,0.3466548033735969,0.10120025791905143
Eastern Towhee,late_breeding,5,4,50,16,0.32,0.36693334579467773,0.04693334579467773,0.35606304109096526,0.03606304109096525,0.3915620446205139,0.07156204462051391,0.37981538772583007,0.05981538772583006
Eastern Towhee,spring_migration,7,7,137,49,0.35766423357664234,0.36693334579467773,0.009269112218035391,0.37269124997793324,0.015027016401290894,0.36662744583874723,0.008963212262104892,0.36877798968858094,0.0111137561119386
Eastern Towhee,winter,10,5,202,46,0.22772277227722773,0.36693334579467773,0.13921057351745,0.32808745925379273,0.100364686976565,0.33712944860505584,0.1094066763278281,0.30225938779882866,0.07453661552160093
Great Egret,early_breeding,7,0,97,0,0.0,0.013866666704416275,0.013866666704416275,0.01377072062381764,0.01377072062381764,0.013956341978892223,0.013956341978892223,0.013967623252460022,0.013967623252460022
Great Egret,fall_migration,7,1,110,1,0.00909090909090909,0.013866666704416275,0.0047757576135071846,0.015908046617087994,0.006817137526178903,0.013022888646545735,0.003931979555636645,0.015982785160568627,0.006891876069659537
Great Egret,late_breeding,5,0,50,0,0.0,0.013866666704416275,0.013866666704416275,0.01671205285936594,0.01671205285936594,0.014049301892518996,0.014049301892518996,0.017249320466071368,0.017249320466071368
Great Egret,spring_migration,7,1,137,1,0.0072992700729927005,0.013866666704416275,0.0065673966314235745,0.013710390422901097,0.006411120349908397,0.013746417215923323,0.0064471471429306225,0.014468169125327229,0.0071688990523345285
Great Egret,winter,10,1,202,6,0.0297029702970297,0.013866666704416275,0.015836303592613427,0.013737850089437596,0.015965120207592106,0.012406916440565987,0.017296053856463715,0.012886207002113657,0.016816763294916045
Green Heron,early_breeding,7,1,97,1,0.010309278350515464,0.01119999960064888,0.0008907212501334163,0.012474158461944959,0.002164880111429495,0.011468541683609952,0.0011592633330944884,0.013481334802339371,0.0031720564518239076
Green Heron,fall_migration,7,0,110,0,0.0,0.01119999960064888,0.01119999960064888,0.010161843354051764,0.010161843354051764,0.01134976584633643,0.01134976584633643,0.010760147861120376,0.010760147861120376
Green Heron,late_breeding,5,1,50,1,0.02,0.01119999960064888,0.00880000039935112,0.012854563482105731,0.007145436517894269,0.012570169363170862,0.007429830636829138,0.015111040491610765,0.004888959508389235
Green Heron,spring_migration,7,1,137,3,0.021897810218978103,0.01119999960064888,0.010697810618329223,0.011105946319544837,0.010791863899433266,0.01121972572656661,0.010678084492411493,0.012011546804739611,0.009886263414238492
Green Heron,winter,10,0,202,0,0.0,0.01119999960064888,0.01119999960064888,0.010066999279257685,0.010066999279257685,0.009794729637295599,0.009794729637295599,0.00911926777599988,0.00911926777599988
House Sparrow,early_breeding,7,0,97,0,0.0,0.04586666822433472,0.04586666822433472,0.0374459912328376,0.0374459912328376,0.04314370633861453,0.04314370633861453,0.034065146114408355,0.034065146114408355
House Sparrow,fall_migration,7,0,110,0,0.0,0.04586666822433472,0.04586666822433472,0.038618070699951865,0.038618070699951865,0.04301273084499619,0.04301273084499619,0.03473191952163523,0.03473191952163523
House Sparrow,late_breeding,5,1,50,1,0.02,0.04586666822433472,0.025866668224334716,0.035541255548596384,0.015541255548596384,0.0432192612439394,0.023219261243939398,0.03283019360154867,0.012830193601548672
House Sparrow,spring_migration,7,2,137,3,0.021897810218978103,0.04586666822433472,0.023968858005356614,0.03750481758348263,0.01560700736450453,0.04331674239169942,0.021418932172721318,0.03391710180707656,0.01201929158809846
House Sparrow,winter,10,2,202,2,0.009900990099009901,0.04586666822433472,0.035965678125324814,0.045219445637989755,0.03531845553897985,0.042139418201871434,0.03223842810286153,0.039651002200080616,0.029750012101070714
Northern Cardinal,early_breeding,7,6,97,75,0.7731958762886598,0.6677333116531372,0.10546256463552262,0.6704970844013175,0.10269879188734232,0.6815370106205498,0.09165886566810999,0.6822406698748008,0.09095520641385901
Northern Cardinal,fall_migration,7,6,110,69,0.6272727272727273,0.6677333116531372,0.04046058438040989,0.6245656782930548,0.002707048979672555,0.6910765469074249,0.06380381963469761,0.6356690293008631,0.008396302028135794
Northern Cardinal,late_breeding,5,4,50,34,0.68,0.6677333116531372,0.012266688346862842,0.6662356579303741,0.013764342069625957,0.6945164442062378,0.014516444206237766,0.6838232827186584,0.003823282718658394
Northern Cardinal,spring_migration,7,7,137,120,0.8759124087591241,0.6677333116531372,0.20817909710598692,0.6702884970790278,0.2056239116800963,0.6788292770838216,0.19708313167530256,0.6774708750474192,0.19844153371170492
Northern Cardinal,winter,10,10,202,105,0.5198019801980198,0.6677333116531372,0.1479313314551174,0.6322709729175756,0.1124689927195558,0.6655583355096307,0.1457563553116109,0.6198834953921857,0.10008151519416586
Red-headed Woodpecker,early_breeding,7,0,97,0,0.0,0.007466666866093874,0.007466666866093874,0.007939319659178098,0.007939319659178098,0.007351436666645033,0.007351436666645033,0.008341029430403537,0.008341029430403537
Red-headed Woodpecker,fall_migration,7,1,110,1,0.00909090909090909,0.007466666866093874,0.0016242422248152165,0.00843476400795308,0.0006561450829560105,0.006816858713599769,0.0022740503773093215,0.007534576321698048,0.0015563327692110426
Red-headed Woodpecker,late_breeding,5,0,50,0,0.0,0.007466666866093874,0.007466666866093874,0.008214945429936052,0.008214945429936052,0.00727941551245749,0.00727941551245749,0.0082530512008816,0.0082530512008816
Red-headed Woodpecker,spring_migration,7,0,137,0,0.0,0.007466666866093874,0.007466666866093874,0.0074607790141862675,0.0074607790141862675,0.0072200431243727246,0.0072200431243727246,0.007158049542021795,0.007158049542021795
Red-headed Woodpecker,winter,10,0,202,0,0.0,0.007466666866093874,0.007466666866093874,0.00737175988125624,0.00737175988125624,0.007138155414584545,0.007138155414584545,0.00729347365484158,0.00729347365484158
Wood Thrush,early_breeding,7,5,97,36,0.3711340206185567,0.08533333241939545,0.28580068819916127,0.09237285012129656,0.2787611704972601,0.08532589312988459,0.2858081274886721,0.09432536140852368,0.27680865921003306
Wood Thrush,fall_migration,7,2,110,5,0.045454545454545456,0.08533333241939545,0.03987878696484999,0.07896048250523481,0.033505937050689355,0.08797951686111363,0.04252497140656818,0.08551761311563578,0.04006306766109033
Wood Thrush,late_breeding,5,3,50,7,0.14,0.08533333241939545,0.05466666758060457,0.09316856250166893,0.04683143749833109,0.08827403992414475,0.05172596007585527,0.09945741593837738,0.04054258406162263
Wood Thrush,spring_migration,7,2,137,9,0.06569343065693431,0.08533333241939545,0.019639901762461137,0.0808660336872087,0.015172603030274387,0.08639329949217121,0.020699868835236904,0.08474130014868549,0.019047869491751176
Wood Thrush,winter,10,0,202,0,0.0,0.08533333241939545,0.08533333241939545,0.07938198918605795,0.07938198918605795,0.08366482476196667,0.08366482476196667,0.07897095743677404,0.07897095743677404
